# # Data simulated with Soft Potato 2.0, for more information visit https://oliverrdz.xyz/soft-potato
# # t/s, E/V, i/A
0.000000000000000000e+00,-5.000000000000000000e-01,0.000000000000000000e+00
1.000500250125062459e-03,-4.989989989989990216e-01,3.537178989562535741e-11
2.001000500250124919e-03,-4.979979979979979876e-01,1.555464850992206266e-11
3.001500750375187161e-03,-4.969969969969970092e-01,1.643818953673331585e-11
4.002001000500249837e-03,-4.959959959959959752e-01,1.305918020120947196e-11
5.002501250625312514e-03,-4.949949949949949968e-01,1.330632639359127871e-11
6.003001500750374322e-03,-4.939939939939940183e-01,1.223101884606527577e-11
7.003501750875436999e-03,-4.929929929929929844e-01,1.239112177291048930e-11
8.004002001000499675e-03,-4.919919919919920059e-01,1.204812824926747833e-11
9.004502251125562351e-03,-4.909909909909909720e-01,1.223213983386566801e-11
1.000500250125062503e-02,-4.899899899899899935e-01,1.220969852040012810e-11
1.100550275137568770e-02,-4.889889889889890151e-01,1.244391167532587179e-11
1.200600300150074864e-02,-4.879879879879879812e-01,1.259448333154005926e-11
1.300650325162581132e-02,-4.869869869869870027e-01,1.288408765544363455e-11
1.400700350175087400e-02,-4.859859859859859688e-01,1.314526918995188382e-11
1.500750375187593667e-02,-4.849849849849849903e-01,1.349011809212092896e-11
1.600800400200099935e-02,-4.839839839839840119e-01,1.383291041282540844e-11
1.700850425212606029e-02,-4.829829829829829779e-01,1.423204817930189766e-11
1.800900450225112470e-02,-4.819819819819819995e-01,1.464242887855078062e-11
1.900950475237618564e-02,-4.809809809809809655e-01,1.509537693377377641e-11
2.001000500250125005e-02,-4.799799799799799871e-01,1.556676811264091559e-11
2.101050525262631100e-02,-4.789789789789790087e-01,1.607387712458900808e-11
2.201100550275137541e-02,-4.779779779779779747e-01,1.660373500306581936e-11
2.301150575287643635e-02,-4.769769769769769963e-01,1.716618632042095298e-11
2.401200600300149729e-02,-4.759759759759759623e-01,1.775434562466507634e-11
2.501250625312656170e-02,-4.749749749749749839e-01,1.837409522742255181e-11
2.601300650325162264e-02,-4.739739739739739499e-01,1.902193563472677595e-11
2.701350675337668705e-02,-4.729729729729729715e-01,1.970161928138136137e-11
2.801400700350174799e-02,-4.719719719719719930e-01,2.041159546759577204e-11
2.901450725362681241e-02,-4.709709709709709591e-01,2.115448558022630940e-11
3.001500750375187335e-02,-4.699699699699699806e-01,2.192988865055975328e-11
3.101550775387693776e-02,-4.689689689689689467e-01,2.273983826543911850e-11
3.201600800400199870e-02,-4.679679679679679682e-01,2.358465634956606512e-11
3.301650825412705964e-02,-4.669669669669669898e-01,2.446608761985042895e-11
3.401700850425212058e-02,-4.659659659659659559e-01,2.538491389342479317e-11
3.501750875437718846e-02,-4.649649649649649774e-01,2.634279940602358420e-11
3.601800900450224940e-02,-4.639639639639639435e-01,2.734083496500641175e-11
