# # Data simulated with Soft Potato 2.0, for more information visit https://oliverrdz.xyz/soft-potato
# # t/s, E/V, i/A
0.000000000000000000e+00,-5.000000000000000000e-01,0.000000000000000000e+00
1.005025125628140753e-01,-4.898989898989898895e-01,5.038904260269491225e-12
2.010050251256281506e-01,-4.797979797979797789e-01,4.442988151595809092e-12
3.015075376884422398e-01,-4.696969696969697239e-01,6.622502599574689407e-12
4.020100502512563012e-01,-4.595959595959596133e-01,9.237440757979591140e-12
5.025125628140704181e-01,-4.494949494949495028e-01,1.364826518268723056e-11
6.030150753768844796e-01,-4.393939393939393923e-01,1.999241831959066489e-11
7.035175879396985410e-01,-4.292929292929292817e-01,2.957307536160950654e-11
8.040201005025126024e-01,-4.191919191919191712e-01,4.369187617952595874e-11
9.045226130653266639e-01,-4.090909090909090606e-01,6.468119067460181569e-11
1.005025125628140836e+00,-3.989898989898990056e-01,9.573556101682335462e-11
1.105527638190954898e+00,-3.888888888888888951e-01,1.417575694335018837e-10
1.206030150753768959e+00,-3.787878787878787845e-01,2.098825165492471075e-10
1.306532663316583021e+00,-3.686868686868686740e-01,3.107449123968354492e-10
1.407035175879397082e+00,-3.585858585858585634e-01,4.600074656921027683e-10
1.507537688442211143e+00,-3.484848484848485084e-01,6.808511742755424431e-10
1.608040201005025205e+00,-3.383838383838383423e-01,1.007472047652152333e-09
1.708542713567839266e+00,-3.282828282828282873e-01,1.490339040339440294e-09
1.809045226130653328e+00,-3.181818181818181768e-01,2.203819691957637908e-09
1.909547738693467389e+00,-3.080808080808080662e-01,3.257402674551510081e-09
2.010050251256281673e+00,-2.979797979797979557e-01,4.812032010077452682e-09
2.110552763819095734e+00,-2.878787878787878451e-01,7.103903785883572463e-09
2.211055276381909795e+00,-2.777777777777777901e-01,1.047892506933979456e-08
2.311557788944723857e+00,-2.676767676767676241e-01,1.544242916405202899e-08
2.412060301507537918e+00,-2.575757575757575690e-01,2.273045075100220174e-08
2.512562814070351980e+00,-2.474747474747474585e-01,3.341123472802362936e-08
2.613065326633166041e+00,-2.373737373737373479e-01,4.902858151143187340e-08
2.713567839195980103e+00,-2.272727272727272374e-01,7.180227344977994215e-08
2.814070351758794164e+00,-2.171717171717171269e-01,1.049049659189112408e-07
2.914572864321608225e+00,-2.070707070707070718e-01,1.528393007949354837e-07
3.015075376884422287e+00,-1.969696969696969613e-01,2.219428663132524058e-07
3.115577889447236348e+00,-1.868686868686868507e-01,3.210508930885892599e-07
3.216080402010050410e+00,-1.767676767676767402e-01,4.623455740027789492e-07
3.316582914572864471e+00,-1.666666666666666297e-01,6.624146471056699899e-07
3.417085427135678533e+00,-1.565656565656565191e-01,9.435283758460928073e-07
3.517587939698492594e+00,-1.464646464646464086e-01,1.335122035895466851e-06
3.618090452261306655e+00,-1.363636363636363535e-01,1.875440747872541318e-06
3.718592964824120717e+00,-1.262626262626262430e-01,2.613267457707764677e-06
3.819095477386934778e+00,-1.161616161616161325e-01,3.609617433192023803e-06
3.919597989949748840e+00,-1.060606060606060219e-01,4.939248453969953072e-06
4.020100502512563345e+00,-9.595959595959591137e-02,6.691806902976526369e-06
4.120603015075377407e+00,-8.585858585858580083e-02,8.972402663459102742e-06
4.221105527638191468e+00,-7.575757575757574580e-02,1.190137009711911945e-05
4.321608040201005529e+00,-6.565656565656563526e-02,1.561291487252121813e-05
4.422110552763819591e+00,-5.555555555555552472e-02,2.025225673045690609e-05
4.522613065326633652e+00,-4.545454545454541417e-02,2.597075871391586884e-05
4.623115577889447714e+00,-3.535353535353530363e-02,3.291840849886090302e-05
4.723618090452261775e+00,-2.525252525252519309e-02,4.123294217480125872e-05
4.824120603015075837e+00,-1.515151515151513806e-02,5.102496530845020324e-05
4.924623115577889898e+00,-5.050505050505027516e-03,6.235875352622142901e-05
5.025125628140703959e+00,5.050505050505083027e-03,7.522914362170322878e-05
5.125628140703518021e+00,1.515151515151524908e-02,8.953616387423849745e-05
5.226130653266332082e+00,2.525252525252530411e-02,1.050607884225217005e-04
5.326633165829146144e+00,3.535353535353535914e-02,1.214471824725339949e-04
5.427135678391960205e+00,4.545454545454552520e-02,1.381984199216479577e-04
5.527638190954774267e+00,5.555555555555558023e-02,1.546929210997520293e-04
5.628140703517588328e+00,6.565656565656574628e-02,1.702266708634522937e-04
5.728643216080402389e+00,7.575757575757580131e-02,1.840809942690175541e-04
5.829145728643216451e+00,8.585858585858585634e-02,1.956078945670421999e-04
5.929648241206030512e+00,9.595959595959602240e-02,2.043170430382045943e-04
6.030150753768844574e+00,1.060606060606060774e-01,2.099440699317085303e-04
6.130653266331658635e+00,1.161616161616162435e-01,2.124820216448719600e-04
6.231155778894472697e+00,1.262626262626262985e-01,2.121672537059348176e-04
6.331658291457286758e+00,1.363636363636364646e-01,2.094244066042485542e-04
6.432160804020100819e+00,1.464646464646465196e-01,2.047867854895089271e-04
6.532663316582914881e+00,1.565656565656565746e-01,1.988134819126019688e-04
6.633165829145728942e+00,1.666666666666667407e-01,1.920215661486916314e-04
6.733668341708543004e+00,1.767676767676767957e-01,1.848432819297779093e-04
6.834170854271357065e+00,1.868686868686869618e-01,1.776089328166576009e-04
6.934673366834171127e+00,1.969696969696970168e-01,1.705497108578106404e-04
7.035175879396985188e+00,2.070707070707071829e-01,1.638123343930620647e-04
7.135678391959799249e+00,2.171717171717172379e-01,1.574781858285682575e-04
7.236180904522613311e+00,2.272727272727272929e-01,1.515819825938965993e-04
7.336683417085427372e+00,2.373737373737374590e-01,1.461274452553503497e-04
7.437185929648241434e+00,2.474747474747475140e-01,1.410992145924881464e-04
7.537688442211055495e+00,2.575757575757576801e-01,1.364712825339843962e-04
7.638190954773869557e+00,2.676767676767677351e-01,1.322126161443357617e-04
7.738693467336683618e+00,2.777777777777777901e-01,1.282907128303211440e-04
7.839195979899497679e+00,2.878787878787879562e-01,1.246737214911806599e-04
7.939698492462311741e+00,2.979797979797980112e-01,1.213316147991279830e-04
8.040201005025126690e+00,3.080808080808081773e-01,1.182367578410499080e-04
8.140703517587940752e+00,3.181818181818182323e-01,1.153641071969280940e-04
8.241206030150754813e+00,3.282828282828283983e-01,1.126911936683453673e-04
8.341708542713568875e+00,3.383838383838384534e-01,1.101979861324857982e-04
8.442211055276382936e+00,3.484848484848485084e-01,1.078666969306585425e-04
8.542713567839196998e+00,3.585858585858586745e-01,1.056815651748611553e-04
8.643216080402011059e+00,3.686868686868687295e-01,1.036286390933236092e-04
8.743718592964825120e+00,3.787878787878788955e-01,1.016955690128876514e-04
8.844221105527639182e+00,3.888888888888889506e-01,9.987141674492568458e-05
8.944723618090453243e+00,3.989898989898991166e-01,9.814648365239083370e-05
9.045226130653267305e+00,4.090909090909091717e-01,9.651215765421443122e-05
9.145728643216081366e+00,4.191919191919192267e-01,9.496077831030346654e-05
9.246231155778895427e+00,4.292929292929293927e-01,9.348551857134035923e-05
9.346733668341709489e+00,4.393939393939394478e-01,9.208028154957828787e-05
9.447236180904523550e+00,4.494949494949496138e-01,9.073961063086677988e-05
9.547738693467337612e+00,4.595959595959596689e-01,8.945861131840424638e-05
9.648241206030151673e+00,4.696969696969697239e-01,8.823288332285388589e-05
9.748743718592965735e+00,4.797979797979798899e-01,8.705846156016615095e-05
9.849246231155779796e+00,4.898989898989899450e-01,8.593176486947632286e-05
9.949748743718593857e+00,5.000000000000000000e-01,8.484955140867631496e-05
1.005025125628140792e+01,5.000000000000000000e-01,8.379997750856308205e-05
1.015075376884422198e+01,4.898989898989898895e-01,8.278568971953722188e-05
1.025125628140703604e+01,4.797979797979797789e-01,8.181250828717590744e-05
1.035175879396985010e+01,4.696969696969697239e-01,8.087352725686433163e-05
1.045226130653266416e+01,4.595959595959596133e-01,7.996652675869180048e-05
1.055276381909547823e+01,4.494949494949495028e-01,7.908872802603107461e-05
1.065326633165829229e+01,4.393939393939393923e-01,7.823809211742416769e-05
