# # Data simulated with Soft Potato 2.0, for more information visit https://oliverrdz.xyz/soft-potato
# # t/s, E/V, i/A
0.000000000000000000e+00,-5.000000000000000000e-01,0.000000000000000000e+00
1.005025125628140614e+00,-4.898989898989898895e-01,1.594211675039430713e-12
2.010050251256281229e+00,-4.797979797979797789e-01,1.405923429582407008e-12
3.015075376884421843e+00,-4.696969696969697239e-01,2.095384193754316951e-12
4.020100502512562457e+00,-4.595959595959596133e-01,2.923394021485646455e-12
5.025125628140703071e+00,-4.494949494949495028e-01,4.319900536931727432e-12
6.030150753768843686e+00,-4.393939393939393923e-01,6.329326927938638990e-12
7.035175879396984300e+00,-4.292929292929292817e-01,9.364687679476295585e-12
8.040201005025124914e+00,-4.191919191919191712e-01,1.383980455355197278e-11
9.045226130653265528e+00,-4.090909090909090606e-01,2.049581304325675764e-11
1.005025125628140614e+01,-3.989898989898990056e-01,3.034966711448874920e-11
1.105527638190954676e+01,-3.888888888888888951e-01,4.496362548730069809e-11
1.206030150753768737e+01,-3.787878787878787845e-01,6.661574665559100145e-11
1.306532663316582799e+01,-3.686868686868686740e-01,9.870784819899355977e-11
1.407035175879396860e+01,-3.585858585858585634e-01,1.462630668925069106e-10
1.507537688442210921e+01,-3.484848484848485084e-01,2.167380333063539279e-10
1.608040201005024983e+01,-3.383838383838383423e-01,3.211735134488418937e-10
1.708542713567839044e+01,-3.282828282828282873e-01,4.759372968483407227e-10
1.809045226130653106e+01,-3.181818181818181768e-01,7.052797193416761729e-10
1.909547738693467167e+01,-3.080808080808080662e-01,1.045140259758595084e-09
2.010050251256281229e+01,-2.979797979797979557e-01,1.548773846121839391e-09
2.110552763819095290e+01,-2.878787878787878451e-01,2.295098353172087471e-09
2.211055276381909351e+01,-2.777777777777777901e-01,3.401055548740695756e-09
2.311557788944723413e+01,-2.676767676767676241e-01,5.039931409340412240e-09
2.412060301507537474e+01,-2.575757575757575690e-01,7.468493937761810458e-09
2.512562814070351536e+01,-2.474747474747474585e-01,1.106719706828710042e-08
2.613065326633165597e+01,-2.373737373737373479e-01,1.639972408477541757e-08
2.713567839195979658e+01,-2.272727272727272374e-01,2.430115594549710298e-08
2.814070351758793720e+01,-2.171717171717171269e-01,3.600847137351769551e-08
2.914572864321607781e+01,-2.070707070707070718e-01,5.335359580349525105e-08
3.015075376884421843e+01,-1.969696969696969613e-01,7.904873428844420245e-08
3.115577889447235904e+01,-1.868686868686868507e-01,1.171075730048445570e-07
3.216080402010049966e+01,-1.767676767676767402e-01,1.734658783264565105e-07
3.316582914572863672e+01,-1.666666666666666297e-01,2.568933302129162653e-07
3.417085427135678088e+01,-1.565656565656565191e-01,3.803276500855612501e-07
3.517587939698492505e+01,-1.464646464646464086e-01,5.628143170361477513e-07
3.618090452261306211e+01,-1.363636363636363535e-01,8.322999003208497437e-07
3.718592964824119917e+01,-1.262626262626262430e-01,1.229596022095720038e-06
3.819095477386934334e+01,-1.161616161616161325e-01,1.813876807286768879e-06
3.919597989949748751e+01,-1.060606060606060219e-01,2.670025531656374965e-06
4.020100502512562457e+01,-9.595959595959591137e-02,3.917850571298018967e-06
4.120603015075376163e+01,-8.585858585858580083e-02,5.722338033093992327e-06
4.221105527638190580e+01,-7.575757575757574580e-02,8.302168185775822041e-06
4.321608040201004997e+01,-6.565656565656563526e-02,1.192999615769478857e-05
4.422110552763818703e+01,-5.555555555555552472e-02,1.691216049780060686e-05
4.522613065326632409e+01,-4.545454545454541417e-02,2.352934006689014909e-05
4.623115577889446826e+01,-3.535353535353530363e-02,3.192055898477371724e-05
4.723618090452261242e+01,-2.525252525252519309e-02,4.191585212090672801e-05
4.824120603015074948e+01,-1.515151515151513806e-02,5.288028862393362678e-05
4.924623115577888655e+01,-5.050505050505027516e-03,6.369903891032126881e-05
5.025125628140703071e+01,5.050505050505083027e-03,7.302021233126375257e-05
5.125628140703517488e+01,1.515151515151524908e-02,7.970494927774994748e-05
5.226130653266331194e+01,2.525252525252530411e-02,8.322637962410793879e-05
5.326633165829144900e+01,3.535353535353535914e-02,8.376344176532242035e-05
5.427135678391959317e+01,4.545454545454552520e-02,8.198183636409161698e-05
5.527638190954773734e+01,5.555555555555558023e-02,7.870482230754938854e-05
5.628140703517587440e+01,6.565656565656574628e-02,7.466550879140765036e-05
5.728643216080401146e+01,7.575757575757580131e-02,7.039994033619308177e-05
5.829145728643215563e+01,8.585858585858585634e-02,6.624416764984228953e-05
