# # Data simulated with Soft Potato 2.0, for more information visit https://oliverrdz.xyz/soft-potato
# # t/s, E/V, i/A
0.000000000000000000e+00,-5.000000000000000000e-01,0.000000000000000000e+00
1.005025125628140614e+00,-4.898989898989898895e-01,1.042871115192928961e-08
2.010050251256281229e+00,-4.797979797979797789e-01,6.437863686789083421e-09
3.015075376884421843e+00,-4.696969696969697239e-01,1.260782179102506942e-08
4.020100502512562457e+00,-4.595959595959596133e-01,1.181243315110793904e-08
5.025125628140703071e+00,-4.494949494949495028e-01,1.716154235887119173e-08
6.030150753768843686e+00,-4.393939393939393923e-01,1.873315793879298279e-08
7.035175879396984300e+00,-4.292929292929292817e-01,2.452499358472994895e-08
8.040201005025124914e+00,-4.191919191919191712e-01,2.849295648044084802e-08
9.045226130653265528e+00,-4.090909090909090606e-01,3.577696425762268047e-08
1.005025125628140614e+01,-3.989898989898990056e-01,4.267599310803410145e-08
1.105527638190954676e+01,-3.888888888888888951e-01,5.265150342118136026e-08
1.206030150753768737e+01,-3.787878787878787845e-01,6.352123450497836382e-08
1.306532663316582799e+01,-3.686868686868686740e-01,7.777575278585810504e-08
1.407035175879396860e+01,-3.585858585858585634e-01,9.429487266512863535e-08
1.507537688442210921e+01,-3.484848484848485084e-01,1.150682504918508984e-07
1.608040201005024983e+01,-3.383838383838383423e-01,1.398034486065400525e-07
1.708542713567839044e+01,-3.282828282828282873e-01,1.703408842173694918e-07
1.809045226130653106e+01,-3.181818181818181768e-01,2.071367252688560318e-07
1.909547738693467167e+01,-3.080808080808080662e-01,2.521891227795568486e-07
2.010050251256281229e+01,-2.979797979797979557e-01,3.067514163633760941e-07
2.110552763819095290e+01,-2.878787878787878451e-01,3.732964318503261168e-07
2.211055276381909351e+01,-2.777777777777777901e-01,4.540482816383432236e-07
2.311557788944723413e+01,-2.676767676767676241e-01,5.523298940165994197e-07
2.412060301507537474e+01,-2.575757575757575690e-01,6.716503301139390488e-07
2.512562814070351536e+01,-2.474747474747474585e-01,8.166653836899987039e-07
2.613065326633165597e+01,-2.373737373737373479e-01,9.926531813558473652e-07
2.713567839195979658e+01,-2.272727272727272374e-01,1.206242840740968923e-06
2.814070351758793720e+01,-2.171717171717171269e-01,1.465171694096466876e-06
2.914572864321607781e+01,-2.070707070707070718e-01,1.778884835703988108e-06
3.015075376884421843e+01,-1.969696969696969613e-01,2.158500465804409883e-06
3.115577889447235904e+01,-1.868686868686868507e-01,2.617338328826502172e-06
3.216080402010049966e+01,-1.767676767676767402e-01,3.171024413082624831e-06
3.316582914572863672e+01,-1.666666666666666297e-01,3.837950966399567189e-06
3.417085427135678088e+01,-1.565656565656565191e-01,4.639416951482602289e-06
3.517587939698492505e+01,-1.464646464646464086e-01,5.599932084925770881e-06
3.618090452261306211e+01,-1.363636363636363535e-01,6.747193027696123623e-06
3.718592964824119917e+01,-1.262626262626262430e-01,8.111988374288087736e-06
3.819095477386934334e+01,-1.161616161616161325e-01,9.727628636897704949e-06
3.919597989949748751e+01,-1.060606060606060219e-01,1.162897257732830225e-05
4.020100502512562457e+01,-9.595959595959591137e-02,1.385067847723626795e-05
4.120603015075376163e+01,-8.585858585858580083e-02,1.642462775723856349e-05
4.221105527638190580e+01,-7.575757575757574580e-02,1.937622125667397830e-05
4.321608040201004997e+01,-6.565656565656563526e-02,2.271954972465998549e-05
4.422110552763818703e+01,-5.555555555555552472e-02,2.645144911777046445e-05
4.522613065326632409e+01,-4.545454545454541417e-02,3.054489688703223026e-05
4.623115577889446826e+01,-3.535353535353530363e-02,3.494253075408886391e-05
4.723618090452261242e+01,-2.525252525252519309e-02,3.955166844872931250e-05
4.824120603015074948e+01,-1.515151515151513806e-02,4.424258177207585443e-05
4.924623115577888655e+01,-5.050505050505027516e-03,4.885196965093415518e-05
5.025125628140703071e+01,5.050505050505083027e-03,5.319307866412355875e-05
5.125628140703517488e+01,1.515151515151524908e-02,5.707270403722565217e-05
5.226130653266331194e+01,2.525252525252530411e-02,6.031332674261555206e-05
5.326633165829144900e+01,3.535353535353535914e-02,6.277652914383098908e-05
5.427135678391959317e+01,4.545454545454552520e-02,6.438241312791232677e-05
5.527638190954773734e+01,5.555555555555558023e-02,6.511997241211950642e-05
5.628140703517587440e+01,6.565656565656574628e-02,6.504551427834108870e-05
5.728643216080401146e+01,7.575757575757580131e-02,6.426966186556124980e-05
5.829145728643215563e+01,8.585858585858585634e-02,6.293676019955941143e-05
5.929648241206029979e+01,9.595959595959602240e-02,6.120226231332270275e-05
6.030150753768843686e+01,1.060606060606060774e-01,5.921328719569817585e-05
