# # Data simulated with Soft Potato 2.0, for more information visit https://oliverrdz.xyz/soft-potato
# # t/s, E/V, i/A
0.000000000000000000e+00,-5.000000000000000000e-01,0.000000000000000000e+00
1.005025125628140631e+04,-4.898989898989898895e-01,1.594209220895422590e-14
2.010050251256281263e+04,-4.797979797979797789e-01,1.405920520967286097e-14
3.015075376884421712e+04,-4.696969696969697239e-01,2.095380467091193559e-14
4.020100502512562525e+04,-4.595959595959596133e-01,2.923386931736289124e-14
5.025125628140703338e+04,-4.494949494949495028e-01,4.319888038976129967e-14
6.030150753768843424e+04,-4.393939393939393923e-01,6.329304249830119024e-14
7.035175879396984237e+04,-4.292929292929292817e-01,9.364646913417493621e-14
8.040201005025125050e+04,-4.191919191919191712e-01,1.383973102012595085e-13
9.045226130653265864e+04,-4.090909090909090606e-01,2.049568056492742834e-13
1.005025125628140668e+05,-3.989898989898990056e-01,3.034942783544795092e-13
1.105527638190954749e+05,-3.888888888888888951e-01,4.496319428510903831e-13
1.206030150753768685e+05,-3.787878787878787845e-01,6.661496855559906239e-13
1.306532663316582766e+05,-3.686868686868686740e-01,9.870644492853910561e-13
1.407035175879396847e+05,-3.585858585858585634e-01,1.462605354429624383e-12
1.507537688442211074e+05,-3.484848484848485084e-01,2.167334665988257479e-12
1.608040201005025010e+05,-3.383838383838383423e-01,3.211652754782188327e-12
1.708542713567838946e+05,-3.282828282828282873e-01,4.759224364155587541e-12
1.809045226130653173e+05,-3.181818181818181768e-01,7.052529119995208670e-12
1.909547738693467109e+05,-3.080808080808080662e-01,1.045091901668961517e-11
2.010050251256281335e+05,-2.979797979797979557e-01,1.548686612255102114e-11
2.110552763819095271e+05,-2.878787878787878451e-01,2.294940991504056449e-11
2.211055276381909498e+05,-2.777777777777777901e-01,3.400771685265700693e-11
2.311557788944723434e+05,-2.676767676767676241e-01,5.039419356374236409e-11
2.412060301507537370e+05,-2.575757575757575690e-01,7.467570274853637190e-11
2.512562814070351596e+05,-2.474747474747474585e-01,1.106553096469025002e-10
2.613065326633165532e+05,-2.373737373737373479e-01,1.639671886545701028e-10
2.713567839195979759e+05,-2.272727272727272374e-01,2.429573556370303611e-10
2.814070351758793695e+05,-2.171717171717171269e-01,3.599869553377586745e-10
2.914572864321607631e+05,-2.070707070707070718e-01,5.333596648173611713e-10
3.015075376884422149e+05,-1.969696969696969613e-01,7.901694687483298275e-10
3.115577889447236084e+05,-1.868686868686868507e-01,1.170502690517026378e-09
3.216080402010050020e+05,-1.767676767676767402e-01,1.733626064012536275e-09
3.316582914572863956e+05,-1.666666666666666297e-01,2.567072983886288850e-09
3.417085427135677892e+05,-1.565656565656565191e-01,3.799927542622937124e-09
3.517587939698492410e+05,-1.464646464646464086e-01,5.622120104186175016e-09
3.618090452261306345e+05,-1.363636363636363535e-01,8.312181759170787124e-09
3.718592964824120281e+05,-1.262626262626262430e-01,1.227657275257569978e-08
3.819095477386934217e+05,-1.161616161616161325e-01,1.810412534667284195e-08
3.919597989949748735e+05,-1.060606060606060219e-01,2.663862751643862638e-08
4.020100502512562671e+05,-9.595959595959591137e-02,3.906958191475759946e-08
4.120603015075376607e+05,-8.585858585858580083e-02,5.703267584714822731e-08
